,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.257,88.00,Alfa 88% CDI por Guide Investimentos,FGC,LCA,10.73% a.a.,16/04/2023,Guide Investimentos,Alfa
1,5.257,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.37% a.a.,20/04/2023,Órama,BRK Financeira
2,5.255,110.00,Modal 110% CDI por modalmais,FGC,CDB,10.66% a.a.,16/04/2023,modalmais,Modal
3,5.255,13.28,Tribanco Prefixado 13.28% por BTG Pactual,FGC,CDB,10.55% a.a.,17/04/2023,BTG Pactual,Tribanco
4,5.255,13.39,BMG Prefixado 13.39% por Nova Futura Investimentos,FGC,CDB,10.64% a.a.,16/04/2023,Nova Futura Investimentos,BMG
5,5.253,109.00,Facta Financeira 109% CDI por XP Investimentos,FGC,CDB,10.56% a.a.,16/04/2023,XP Investimentos,Facta Financeira
6,5.253,13.28,Tribanco Prefixado 13.28% por modalmais,FGC,CDB,10.55% a.a.,16/04/2023,modalmais,Tribanco
7,5.252,108.74,BRK Financeira CDI + 0.95% por Nova Futura Investimentos,FGC,CDB,10.54% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
8,5.252,104.04,BMG CDI + 0.44% por Órama,FGC,CDB,10.09% a.a.,24/04/2023,Órama,BMG
9,5.251,13.19,BMG Prefixado 13.19% por modalmais,FGC,CDB,10.48% a.a.,16/04/2023,modalmais,BMG
10,5.251,108.00,BRK Financeira 108% CDI por Nova Futura Investimentos,FGC,CDB,10.46% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
11,5.250,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.37% a.a.,17/04/2023,Órama,BRK Financeira
