,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.307,12.77,Pine Prefixado 12.77% por Pine Online,FGC,LCA,12.77% a.a.,17/04/2023,Pine Online,Pine
1,5.303,11.70,BDMG Prefixado 11.7% por Nu invest,FGC,LCA,11.70% a.a.,02/05/2023,Nu invest,BDMG
2,5.292,14.17,BMG IPCA + 8.1% por Nu invest,FGC,CDB,11.26% a.a.,02/05/2023,Nu invest,BMG
3,5.291,11.82,ABC Prefixado 11.82% por Guide Investimentos,FGC,LCA,11.82% a.a.,21/04/2023,Guide Investimentos,ABC
4,5.291,12.21,Pine Prefixado 12.21% por Ágora Investimentos,FGC,LCA,12.21% a.a.,14/04/2023,Ágora Investimentos,Pine
5,5.290,12.08,Pine Prefixado 12.08% por BTG Pactual,FGC,LCA,12.08% a.a.,17/04/2023,BTG Pactual,Pine
6,5.289,12.03,Banco de Brasília Prefixado 12.03% por BTG Pactual,FGC,LCA,12.03% a.a.,17/04/2023,BTG Pactual,Banco de Brasília
7,5.289,12.01,BTG Pactual Prefixado 12.01% por BTG Pactual,FGC,LCA,12.01% a.a.,17/04/2023,BTG Pactual,BTG Pactual
8,5.289,12.01,BTG Pactual Prefixado 12.01% por BTG Pactual,FGC,LCI,12.01% a.a.,17/04/2023,BTG Pactual,BTG Pactual
9,5.288,14.56,BRK Financeira Prefixado 14.56% por Órama,FGC,CDB,11.57% a.a.,24/04/2023,Órama,BRK Financeira
10,5.287,14.50,Voiter Prefixado 14.5% por Órama,FGC,CDB,11.52% a.a.,24/04/2023,Órama,Voiter
11,5.286,11.71,BTG Pactual Prefixado 11.71% por Nova Futura Investimentos,FGC,LCA,11.71% a.a.,19/04/2023,Nova Futura Investimentos,BTG Pactual
