,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.276,11.48,Banco de Brasília Prefixado 11.48% por Nu invest,FGC,LCI,11.48% a.a.,17/04/2023,Nu invest,Banco de Brasília
1,5.276,94.00,Pine 94% CDI por BTG Pactual,FGC,LCA,11.46% a.a.,17/04/2023,BTG Pactual,Pine
2,5.275,14.38,ABC Prefixado 14.38% por ABC Personal,FGC,CDB,11.42% a.a.,17/04/2023,ABC Personal,ABC
3,5.275,14.00,RNX Prefixado 14% por Órama,FGC,CDB,11.12% a.a.,20/04/2023,Órama,RNX
4,5.275,11.70,Pine Prefixado 11.7% por Nu invest,FGC,LCA,11.70% a.a.,12/04/2023,Nu invest,Pine
5,5.274,14.46,BRK Financeira Prefixado 14.46% por Nova Futura Investimentos,FGC,CDB,11.48% a.a.,16/04/2023,Nova Futura Investimentos,BRK Financeira
6,5.274,13.82,Pine Prefixado 13.82% por Órama,FGC,CDB,10.98% a.a.,24/04/2023,Órama,Pine
7,5.273,93.02,ABC 93.02% CDI por ABC Personal,FGC,LCA,11.34% a.a.,17/04/2023,ABC Personal,ABC
8,5.273,93.00,Bradesco 93% CDI por Ágora Investimentos,FGC,LCI,11.34% a.a.,17/04/2023,Ágora Investimentos,Bradesco
9,5.271,13.90,C6 Bank Prefixado 13.9% por Guide Investimentos,FGC,CDB,11.04% a.a.,19/04/2023,Guide Investimentos,C6 Bank
10,5.271,14.13,C6 Bank Prefixado 14.13% por Ágora Investimentos,FGC,CDB,11.22% a.a.,17/04/2023,Ágora Investimentos,C6 Bank
11,5.270,14.11,Alfa Prefixado 14.11% por BTG Pactual,FGC,CDB,11.21% a.a.,17/04/2023,BTG Pactual,Alfa
