,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.265,13.50,ABC Prefixado 13.5% por Guide Investimentos,FGC,CDB,10.73% a.a.,20/04/2023,Guide Investimentos,ABC
1,5.265,11.00,Rodobens Prefixado 11% por Nu invest,FGC,LCI,11.00% a.a.,17/04/2023,Nu invest,Rodobens
2,5.265,11.00,Rodobens Prefixado 11% por Nu invest,FGC,LCA,11.00% a.a.,17/04/2023,Nu invest,Rodobens
3,5.265,11.00,Rodobens Prefixado 11% por BTG Pactual,FGC,LCA,11.00% a.a.,17/04/2023,BTG Pactual,Rodobens
4,5.265,11.00,Rodobens Prefixado 11% por BTG Pactual,FGC,LCI,11.00% a.a.,17/04/2023,BTG Pactual,Rodobens
5,5.265,109.66,BRK Financeira CDI + 1.05% por Órama,FGC,CDB,10.63% a.a.,24/04/2023,Órama,BRK Financeira
6,5.265,113.32,Tesouro SELIC 2024,,Tesouro Direto,10.98% a.a.,17/04/2023,Rico Investimentos,Tesouro Nacional
7,5.265,13.93,Modal Prefixado 13.93% por modalmais,FGC,CDB,11.07% a.a.,16/04/2023,modalmais,Modal
8,5.264,13.80,PAN Prefixado 13.8% por Nu invest,FGC,CDB,10.96% a.a.,17/04/2023,Nu invest,PAN
9,5.264,13.90,RNX Prefixado 13.9% por modalmais,FGC,CDB,11.04% a.a.,16/04/2023,modalmais,RNX
10,5.263,13.73,Modal Prefixado 13.73% por BTG Pactual,FGC,CDB,10.91% a.a.,17/04/2023,BTG Pactual,Modal
11,5.263,88.00,BTG Pactual 88% CDI por Nova Futura Investimentos,FGC,LCA,10.73% a.a.,19/04/2023,Nova Futura Investimentos,BTG Pactual
